"CODE","DESCRIPTION","VALID","VALID_THRU"
"42Y","Religious Nonmedical (Hospital) Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","1",""
"42Z","Religious Nonmedical (Hospital) Inpatient (Part B) New Abbreviated Encounter Submission","1",""
"430","Religious Nonmedical (Hospital) Outpatient Non-payment/Zero Claim","1",""
"431","Religious Nonmedical (Hospital) Outpatient Admit Through Discharge","1",""
"432","Religious Nonmedical (Hospital) Outpatient Interim - First Claim","1",""
"433","Religious Nonmedical (Hospital) Outpatient Interim-Continuing Claims","1",""
"434","Religious Nonmedical (Hospital) Outpatient Interim - Last Claim","1",""
"435","Religious Nonmedical (Hospital) Outpatient Late Charge Only","1",""
"437","Religious Nonmedical (Hospital) Outpatient Replacement of Prior Claim","1",""
"438","Religious Nonmedical (Hospital) Outpatient Void/Cancel of Prior Claim","1",""
"439","Religious Nonmedical (Hospital) Outpatient Final claim for a Home Health PPS Period","1",""
"43A","Religious Nonmedical (Hospital) Outpatient Admission/Election Notice for Hospice","1",""
"43B","Religious Nonmedical (Hospital) Outpatient Hospice Termination/ Revocation Notice","1",""
"43C","Religious Nonmedical (Hospital) Outpatient Hospice Change of Provider Notice","1",""
"43D","Religious Nonmedical (Hospital) Outpatient Hospice Election Void/Cancel","1",""
"43E","Religious Nonmedical (Hospital) Outpatient Hospice Change of Ownership","1",""
"43F","Religious Nonmedical (Hospital) Outpatient Beneficiary Initiated Adjustment Claim","1",""
"43G","Religious Nonmedical (Hospital) Outpatient CWF Initiated Adjustment Claim","1",""
"43H","Religious Nonmedical (Hospital) Outpatient CMS Initiated Adjustment Claim","1",""
"43I","Religious Nonmedical (Hospital) Outpatient FI Adjustment Claim (Other than QIO or Provider)","1",""
"43J","Religious Nonmedical (Hospital) Outpatient Initiated Adjustment Claim/Other","1",""
"43K","Religious Nonmedical (Hospital) Outpatient OIG Initiated Adjustment Claim","1",""
"43M","Religious Nonmedical (Hospital) Outpatient MSP Initiated Adjustment Claim","1",""
"43O","Religious Nonmedical (Hospital) Outpatient Nonpayment/Zero Claims","1",""
"43P","Religious Nonmedical (Hospital) Outpatient QIO Adjustment Claim","1",""
"43Q","Religious Nonmedical (Hospital) Outpatient Reopening/Adjustment","1",""
"43X","Religious Nonmedical (Hospital) Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"43Y","Religious Nonmedical (Hospital) Outpatient Replacement of Prior Abbreviated Encounter Submission","1",""
"43Z","Religious Nonmedical (Hospital) Outpatient New Abbreviated Encounter Submission","1",""
"440","Religious Nonmedical (Hospital) Other (Part B) Non-payment/Zero Claim","1",""
"441","Religious Nonmedical (Hospital) Other (Part B) Admit Through Discharge","1",""
"442","Religious Nonmedical (Hospital) Other (Part B) Interim - First Claim","1",""
"443","Religious Nonmedical (Hospital) Other (Part B) Interim-Continuing Claims","1",""
"444","Religious Nonmedical (Hospital) Other (Part B) Interim - Last Claim","1",""
"445","Religious Nonmedical (Hospital) Other (Part B) Late Charge Only","1",""
"447","Religious Nonmedical (Hospital) Other (Part B) Replacement of Prior Claim","1",""
"448","Religious Nonmedical (Hospital) Other (Part B) Void/Cancel of Prior Claim","1",""
"449","Religious Nonmedical (Hospital) Other (Part B) Final claim for a Home Health PPS Period","1",""
"44A","Religious Nonmedical (Hospital) Other (Part B) Admission/Election Notice for Hospice","1",""
"44B","Religious Nonmedical (Hospital) Other (Part B) Hospice Termination/ Revocation Notice","1",""
"44C","Religious Nonmedical (Hospital) Other (Part B) Hospice Change of Provider Notice","1",""
"44D","Religious Nonmedical (Hospital) Other (Part B) Hospice Election Void/Cancel","1",""
"44E","Religious Nonmedical (Hospital) Other (Part B) Hospice Change of Ownership","1",""
"44F","Religious Nonmedical (Hospital) Other (Part B) Beneficiary Initiated Adjustment Claim","1",""
"44G","Religious Nonmedical (Hospital) Other (Part B) CWF Initiated Adjustment Claim","1",""
"44H","Religious Nonmedical (Hospital) Other (Part B) CMS Initiated Adjustment Claim","1",""
"44I","Religious Nonmedical (Hospital) Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","1",""
"44J","Religious Nonmedical (Hospital) Other (Part B) Initiated Adjustment Claim/Other","1",""
"44K","Religious Nonmedical (Hospital) Other (Part B) OIG Initiated Adjustment Claim","1",""
"44M","Religious Nonmedical (Hospital) Other (Part B) MSP Initiated Adjustment Claim","1",""
"44O","Religious Nonmedical (Hospital) Other (Part B) Nonpayment/Zero Claims","1",""
"44P","Religious Nonmedical (Hospital) Other (Part B) QIO Adjustment Claim","1",""
"44Q","Religious Nonmedical (Hospital) Other (Part B) Reopening/Adjustment","1",""
"44X","Religious Nonmedical (Hospital) Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"44Y","Religious Nonmedical (Hospital) Other (Part B) Replacement of Prior Abbreviated Encounter Submission","1",""
"44Z","Religious Nonmedical (Hospital) Other (Part B) New Abbreviated Encounter Submission","1",""
"450","Religious Nonmedical (Hospital) Intermediate Care - Level I Non-payment/Zero Claim","1",""
"451","Religious Nonmedical (Hospital) Intermediate Care - Level I Admit Through Discharge","1",""
"452","Religious Nonmedical (Hospital) Intermediate Care - Level I Interim - First Claim","1",""
"453","Religious Nonmedical (Hospital) Intermediate Care - Level I Interim-Continuing Claims","1",""
"454","Religious Nonmedical (Hospital) Intermediate Care - Level I Interim - Last Claim","1",""
"455","Religious Nonmedical (Hospital) Intermediate Care - Level I Late Charge Only","1",""
"457","Religious Nonmedical (Hospital) Intermediate Care - Level I Replacement of Prior Claim","1",""
"458","Religious Nonmedical (Hospital) Intermediate Care - Level I Void/Cancel of Prior Claim","1",""
"459","Religious Nonmedical (Hospital) Intermediate Care - Level I Final claim for a Home Health PPS Period","1",""
"45A","Religious Nonmedical (Hospital) Intermediate Care - Level I Admission/Election Notice for Hospice","1",""
"45B","Religious Nonmedical (Hospital) Intermediate Care - Level I Hospice Termination/ Revocation Notice","1",""
"45C","Religious Nonmedical (Hospital) Intermediate Care - Level I Hospice Change of Provider Notice","1",""
"45D","Religious Nonmedical (Hospital) Intermediate Care - Level I Hospice Election Void/Cancel","1",""
"45E","Religious Nonmedical (Hospital) Intermediate Care - Level I Hospice Change of Ownership","1",""
"45F","Religious Nonmedical (Hospital) Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","1",""
"45G","Religious Nonmedical (Hospital) Intermediate Care - Level I CWF Initiated Adjustment Claim","1",""
"45H","Religious Nonmedical (Hospital) Intermediate Care - Level I CMS Initiated Adjustment Claim","1",""
"45I","Religious Nonmedical (Hospital) Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","1",""
"45J","Religious Nonmedical (Hospital) Intermediate Care - Level I Initiated Adjustment Claim/Other","1",""
"45K","Religious Nonmedical (Hospital) Intermediate Care - Level I OIG Initiated Adjustment Claim","1",""
"45M","Religious Nonmedical (Hospital) Intermediate Care - Level I MSP Initiated Adjustment Claim","1",""
"45O","Religious Nonmedical (Hospital) Intermediate Care - Level I Nonpayment/Zero Claims","1",""
"45P","Religious Nonmedical (Hospital) Intermediate Care - Level I QIO Adjustment Claim","1",""
"45Q","Religious Nonmedical (Hospital) Intermediate Care - Level I Reopening/Adjustment","1",""
"45X","Religious Nonmedical (Hospital) Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"45Y","Religious Nonmedical (Hospital) Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","1",""
"45Z","Religious Nonmedical (Hospital) Intermediate Care - Level I New Abbreviated Encounter Submission","1",""
"460","Religious Nonmedical (Hospital) Intermediate Care - Level II Non-payment/Zero Claim","1",""
"461","Religious Nonmedical (Hospital) Intermediate Care - Level II Admit Through Discharge","1",""
"462","Religious Nonmedical (Hospital) Intermediate Care - Level II Interim - First Claim","1",""
"463","Religious Nonmedical (Hospital) Intermediate Care - Level II Interim-Continuing Claims","1",""
"464","Religious Nonmedical (Hospital) Intermediate Care - Level II Interim - Last Claim","1",""
"465","Religious Nonmedical (Hospital) Intermediate Care - Level II Late Charge Only","1",""
"467","Religious Nonmedical (Hospital) Intermediate Care - Level II Replacement of Prior Claim","1",""
"468","Religious Nonmedical (Hospital) Intermediate Care - Level II Void/Cancel of Prior Claim","1",""
"469","Religious Nonmedical (Hospital) Intermediate Care - Level II Final claim for a Home Health PPS Period","1",""
"46A","Religious Nonmedical (Hospital) Intermediate Care - Level II Admission/Election Notice for Hospice","1",""
"46B","Religious Nonmedical (Hospital) Intermediate Care - Level II Hospice Termination/ Revocation Notice","1",""
"46C","Religious Nonmedical (Hospital) Intermediate Care - Level II Hospice Change of Provider Notice","1",""
"46D","Religious Nonmedical (Hospital) Intermediate Care - Level II Hospice Election Void/Cancel","1",""
"46E","Religious Nonmedical (Hospital) Intermediate Care - Level II Hospice Change of Ownership","1",""
"46F","Religious Nonmedical (Hospital) Intermediate Care - Level II Beneficiary Initiated Adjustment Claim","1",""
"46G","Religious Nonmedical (Hospital) Intermediate Care - Level II CWF Initiated Adjustment Claim","1",""
"46H","Religious Nonmedical (Hospital) Intermediate Care - Level II CMS Initiated Adjustment Claim","1",""
"46I","Religious Nonmedical (Hospital) Intermediate Care - Level II FI Adjustment Claim (Other than QIO or Provider)","1",""
"46J","Religious Nonmedical (Hospital) Intermediate Care - Level II Initiated Adjustment Claim/Other","1",""
"46K","Religious Nonmedical (Hospital) Intermediate Care - Level II OIG Initiated Adjustment Claim","1",""
"46M","Religious Nonmedical (Hospital) Intermediate Care - Level II MSP Initiated Adjustment Claim","1",""
"46O","Religious Nonmedical (Hospital) Intermediate Care - Level II Nonpayment/Zero Claims","1",""
"46P","Religious Nonmedical (Hospital) Intermediate Care - Level II QIO Adjustment Claim","1",""
"46Q","Religious Nonmedical (Hospital) Intermediate Care - Level II Reopening/Adjustment","1",""
"46X","Religious Nonmedical (Hospital) Intermediate Care - Level II Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"46Y","Religious Nonmedical (Hospital) Intermediate Care - Level II Replacement of Prior Abbreviated Encounter Submission","1",""
"46Z","Religious Nonmedical (Hospital) Intermediate Care - Level II New Abbreviated Encounter Submission","1",""
"470","Religious Nonmedical (Hospital) Subacute Inpatient Non-payment/Zero Claim","1",""
"471","Religious Nonmedical (Hospital) Subacute Inpatient Admit Through Discharge","1",""
"472","Religious Nonmedical (Hospital) Subacute Inpatient Interim - First Claim","1",""
"473","Religious Nonmedical (Hospital) Subacute Inpatient Interim-Continuing Claims","1",""
"474","Religious Nonmedical (Hospital) Subacute Inpatient Interim - Last Claim","1",""
"475","Religious Nonmedical (Hospital) Subacute Inpatient Late Charge Only","1",""
"477","Religious Nonmedical (Hospital) Subacute Inpatient Replacement of Prior Claim","1",""
"478","Religious Nonmedical (Hospital) Subacute Inpatient Void/Cancel of Prior Claim","1",""
"479","Religious Nonmedical (Hospital) Subacute Inpatient Final claim for a Home Health PPS Period","1",""
"47A","Religious Nonmedical (Hospital) Subacute Inpatient Admission/Election Notice for Hospice","1",""
"47B","Religious Nonmedical (Hospital) Subacute Inpatient Hospice Termination/ Revocation Notice","1",""
"47C","Religious Nonmedical (Hospital) Subacute Inpatient Hospice Change of Provider Notice","1",""
"47D","Religious Nonmedical (Hospital) Subacute Inpatient Hospice Election Void/Cancel","1",""
"47E","Religious Nonmedical (Hospital) Subacute Inpatient Hospice Change of Ownership","1",""
"47F","Religious Nonmedical (Hospital) Subacute Inpatient Beneficiary Initiated Adjustment Claim","1",""
"47G","Religious Nonmedical (Hospital) Subacute Inpatient CWF Initiated Adjustment Claim","1",""
"47H","Religious Nonmedical (Hospital) Subacute Inpatient CMS Initiated Adjustment Claim","1",""
"47I","Religious Nonmedical (Hospital) Subacute Inpatient FI Adjustment Claim (Other than QIO or Provider)","1",""
"47J","Religious Nonmedical (Hospital) Subacute Inpatient Initiated Adjustment Claim/Other","1",""
"47K","Religious Nonmedical (Hospital) Subacute Inpatient OIG Initiated Adjustment Claim","1",""
"47M","Religious Nonmedical (Hospital) Subacute Inpatient MSP Initiated Adjustment Claim","1",""
"47O","Religious Nonmedical (Hospital) Subacute Inpatient Nonpayment/Zero Claims","1",""
"47P","Religious Nonmedical (Hospital) Subacute Inpatient QIO Adjustment Claim","1",""
"47Q","Religious Nonmedical (Hospital) Subacute Inpatient Reopening/Adjustment","1",""
"47X","Religious Nonmedical (Hospital) Subacute Inpatient Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"47Y","Religious Nonmedical (Hospital) Subacute Inpatient Replacement of Prior Abbreviated Encounter Submission","1",""
"47Z","Religious Nonmedical (Hospital) Subacute Inpatient New Abbreviated Encounter Submission","1",""
"480","Religious Nonmedical (Hospital) Swing BedsNon-payment/Zero Claim","1",""
"481","Religious Nonmedical (Hospital) Swing BedsAdmit Through Discharge","1",""
"482","Religious Nonmedical (Hospital) Swing BedsInterim - First Claim","1",""
"483","Religious Nonmedical (Hospital) Swing BedsInterim-Continuing Claims","1",""
"484","Religious Nonmedical (Hospital) Swing BedsInterim - Last Claim","1",""
"485","Religious Nonmedical (Hospital) Swing BedsLate Charge Only","1",""
"487","Religious Nonmedical (Hospital) Swing BedsReplacement of Prior Claim","1",""
"488","Religious Nonmedical (Hospital) Swing BedsVoid/Cancel of Prior Claim","1",""
"489","Religious Nonmedical (Hospital) Swing BedsFinal claim for a Home Health PPS Period","1",""
"48A","Religious Nonmedical (Hospital) Swing BedsAdmission/Election Notice for Hospice","1",""
"48B","Religious Nonmedical (Hospital) Swing BedsHospice Termination/ Revocation Notice","1",""
"48C","Religious Nonmedical (Hospital) Swing BedsHospice Change of Provider Notice","1",""
"48D","Religious Nonmedical (Hospital) Swing BedsHospice Election Void/Cancel","1",""
"48E","Religious Nonmedical (Hospital) Swing BedsHospice Change of Ownership","1",""
"48F","Religious Nonmedical (Hospital) Swing BedsBeneficiary Initiated Adjustment Claim","1",""
"48G","Religious Nonmedical (Hospital) Swing BedsCWF Initiated Adjustment Claim","1",""
"48H","Religious Nonmedical (Hospital) Swing BedsCMS Initiated Adjustment Claim","1",""
"48I","Religious Nonmedical (Hospital) Swing BedsFI Adjustment Claim (Other than QIO or Provider)","1",""
"48J","Religious Nonmedical (Hospital) Swing BedsInitiated Adjustment Claim/Other","1",""
"48K","Religious Nonmedical (Hospital) Swing BedsOIG Initiated Adjustment Claim","1",""
"48M","Religious Nonmedical (Hospital) Swing BedsMSP Initiated Adjustment Claim","1",""
"48O","Religious Nonmedical (Hospital) Swing BedsNonpayment/Zero Claims","1",""
"48P","Religious Nonmedical (Hospital) Swing BedsQIO Adjustment Claim","1",""
"48Q","Religious Nonmedical (Hospital) Swing BedsReopening/Adjustment","1",""
"48X","Religious Nonmedical (Hospital) Swing BedsVoid/Cancel a Prior Abbreviated Encounter Submission","1",""
"48Y","Religious Nonmedical (Hospital) Swing BedsReplacement of Prior Abbreviated Encounter Submission","1",""
"48Z","Religious Nonmedical (Hospital) Swing BedsNew Abbreviated Encounter Submission","1",""
"510","Religious Nonmedical (Extended Care) Inpatient (Part A) Non-payment/Zero Claim","0","9/30/2005"
"511","Religious Nonmedical (Extended Care) Inpatient (Part A) Admit Through Discharge","0","9/30/2005"
"512","Religious Nonmedical (Extended Care) Inpatient (Part A) Interim - First Claim","0","9/30/2005"
"513","Religious Nonmedical (Extended Care) Inpatient (Part A) Interim-Continuing Claims","0","9/30/2005"
"514","Religious Nonmedical (Extended Care) Inpatient (Part A) Interim - Last Claim","0","9/30/2005"
"515","Religious Nonmedical (Extended Care) Inpatient (Part A) Late Charge Only","0","9/30/2005"
"517","Religious Nonmedical (Extended Care) Inpatient (Part A) Replacement of Prior Claim","0","9/30/2005"
"518","Religious Nonmedical (Extended Care) Inpatient (Part A) Void/Cancel of Prior Claim","0","9/30/2005"
"519","Religious Nonmedical (Extended Care) Inpatient (Part A) Final claim for a Home Health PPS Period","0","9/30/2005"
"51A","Religious Nonmedical (Extended Care) Inpatient (Part A) Admission/Election Notice for Hospice","0","9/30/2005"
"51B","Religious Nonmedical (Extended Care) Inpatient (Part A) Hospice Termination/ Revocation Notice","0","9/30/2005"
"51C","Religious Nonmedical (Extended Care) Inpatient (Part A) Hospice Change of Provider Notice","0","9/30/2005"
"51D","Religious Nonmedical (Extended Care) Inpatient (Part A) Hospice Election Void/Cancel","0","9/30/2005"
"51E","Religious Nonmedical (Extended Care) Inpatient (Part A) Hospice Change of Ownership","0","9/30/2005"
"51F","Religious Nonmedical (Extended Care) Inpatient (Part A) Beneficiary Initiated Adjustment Claim","0","9/30/2005"
"51G","Religious Nonmedical (Extended Care) Inpatient (Part A) CWF Initiated Adjustment Claim","0","9/30/2005"
"51H","Religious Nonmedical (Extended Care) Inpatient (Part A) CMS Initiated Adjustment Claim","0","9/30/2005"
"51I","Religious Nonmedical (Extended Care) Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","0","9/30/2005"
"51J","Religious Nonmedical (Extended Care) Inpatient (Part A) Initiated Adjustment Claim/Other","0","9/30/2005"
"51K","Religious Nonmedical (Extended Care) Inpatient (Part A) OIG Initiated Adjustment Claim","0","9/30/2005"
"51M","Religious Nonmedical (Extended Care) Inpatient (Part A) MSP Initiated Adjustment Claim","0","9/30/2005"
"51O","Religious Nonmedical (Extended Care) Inpatient (Part A) Nonpayment/Zero Claims","0","9/30/2005"
"51P","Religious Nonmedical (Extended Care) Inpatient (Part A) QIO Adjustment Claim","0","9/30/2005"
"51Q","Religious Nonmedical (Extended Care) Inpatient (Part A) Reopening/Adjustment","0","9/30/2005"
"51X","Religious Nonmedical (Extended Care) Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","0","9/30/2005"
"51Y","Religious Nonmedical (Extended Care) Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","0","9/30/2005"
"51Z","Religious Nonmedical (Extended Care) Inpatient (Part A) New Abbreviated Encounter Submission","0","9/30/2005"
"520","Religious Nonmedical (Extended Care) Inpatient (Part B) Non-payment/Zero Claim","0","9/30/2005"
"521","Religious Nonmedical (Extended Care) Inpatient (Part B) Admit Through Discharge","0","9/30/2005"
"522","Religious Nonmedical (Extended Care) Inpatient (Part B) Interim - First Claim","0","9/30/2005"
"523","Religious Nonmedical (Extended Care) Inpatient (Part B) Interim-Continuing Claims","0","9/30/2005"
"524","Religious Nonmedical (Extended Care) Inpatient (Part B) Interim - Last Claim","0","9/30/2005"
"525","Religious Nonmedical (Extended Care) Inpatient (Part B) Late Charge Only","0","9/30/2005"
"527","Religious Nonmedical (Extended Care) Inpatient (Part B) Replacement of Prior Claim","0","9/30/2005"
"528","Religious Nonmedical (Extended Care) Inpatient (Part B) Void/Cancel of Prior Claim","0","9/30/2005"
"529","Religious Nonmedical (Extended Care) Inpatient (Part B) Final claim for a Home Health PPS Period","0","9/30/2005"
"52A","Religious Nonmedical (Extended Care) Inpatient (Part B) Admission/Election Notice for Hospice","0","9/30/2005"
"52B","Religious Nonmedical (Extended Care) Inpatient (Part B) Hospice Termination/ Revocation Notice","0","9/30/2005"
"52C","Religious Nonmedical (Extended Care) Inpatient (Part B) Hospice Change of Provider Notice","0","9/30/2005"
"52D","Religious Nonmedical (Extended Care) Inpatient (Part B) Hospice Election Void/Cancel","0","9/30/2005"
"52E","Religious Nonmedical (Extended Care) Inpatient (Part B) Hospice Change of Ownership","0","9/30/2005"
"52F","Religious Nonmedical (Extended Care) Inpatient (Part B) Beneficiary Initiated Adjustment Claim","0","9/30/2005"
"52G","Religious Nonmedical (Extended Care) Inpatient (Part B) CWF Initiated Adjustment Claim","0","9/30/2005"
"52H","Religious Nonmedical (Extended Care) Inpatient (Part B) CMS Initiated Adjustment Claim","0","9/30/2005"
"52I","Religious Nonmedical (Extended Care) Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","0","9/30/2005"
"52J","Religious Nonmedical (Extended Care) Inpatient (Part B) Initiated Adjustment Claim/Other","0","9/30/2005"
"52K","Religious Nonmedical (Extended Care) Inpatient (Part B) OIG Initiated Adjustment Claim","0","9/30/2005"
"52M","Religious Nonmedical (Extended Care) Inpatient (Part B) MSP Initiated Adjustment Claim","0","9/30/2005"
"52O","Religious Nonmedical (Extended Care) Inpatient (Part B) Nonpayment/Zero Claims","0","9/30/2005"
"52P","Religious Nonmedical (Extended Care) Inpatient (Part B) QIO Adjustment Claim","0","9/30/2005"
"52Q","Religious Nonmedical (Extended Care) Inpatient (Part B) Reopening/Adjustment","0","9/30/2005"
"52X","Religious Nonmedical (Extended Care) Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0","9/30/2005"
"52Y","Religious Nonmedical (Extended Care) Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","0","9/30/2005"
"52Z","Religious Nonmedical (Extended Care) Inpatient (Part B) New Abbreviated Encounter Submission","0","9/30/2005"
"530","Religious Nonmedical (Extended Care) Outpatient Non-payment/Zero Claim","0","9/30/2005"
"531","Religious Nonmedical (Extended Care) Outpatient Admit Through Discharge","0","9/30/2005"
"532","Religious Nonmedical (Extended Care) Outpatient Interim - First Claim","0","9/30/2005"
"533","Religious Nonmedical (Extended Care) Outpatient Interim-Continuing Claims","0","9/30/2005"
"534","Religious Nonmedical (Extended Care) Outpatient Interim - Last Claim","0","9/30/2005"
"535","Religious Nonmedical (Extended Care) Outpatient Late Charge Only","0","9/30/2005"
"537","Religious Nonmedical (Extended Care) Outpatient Replacement of Prior Claim","0","9/30/2005"
"538","Religious Nonmedical (Extended Care) Outpatient Void/Cancel of Prior Claim","0","9/30/2005"
"539","Religious Nonmedical (Extended Care) Outpatient Final claim for a Home Health PPS Period","0","9/30/2005"
"53A","Religious Nonmedical (Extended Care) Outpatient Admission/Election Notice for Hospice","0","9/30/2005"
"53B","Religious Nonmedical (Extended Care) Outpatient Hospice Termination/ Revocation Notice","0","9/30/2005"
"53C","Religious Nonmedical (Extended Care) Outpatient Hospice Change of Provider Notice","0","9/30/2005"
"53D","Religious Nonmedical (Extended Care) Outpatient Hospice Election Void/Cancel","0","9/30/2005"
"53E","Religious Nonmedical (Extended Care) Outpatient Hospice Change of Ownership","0","9/30/2005"
"53F","Religious Nonmedical (Extended Care) Outpatient Beneficiary Initiated Adjustment Claim","0","9/30/2005"
"53G","Religious Nonmedical (Extended Care) Outpatient CWF Initiated Adjustment Claim","0","9/30/2005"
"53H","Religious Nonmedical (Extended Care) Outpatient CMS Initiated Adjustment Claim","0","9/30/2005"
"53I","Religious Nonmedical (Extended Care) Outpatient FI Adjustment Claim (Other than QIO or Provider)","0","9/30/2005"
"53J","Religious Nonmedical (Extended Care) Outpatient Initiated Adjustment Claim/Other","0","9/30/2005"
"53K","Religious Nonmedical (Extended Care) Outpatient OIG Initiated Adjustment Claim","0","9/30/2005"
"53M","Religious Nonmedical (Extended Care) Outpatient MSP Initiated Adjustment Claim","0","9/30/2005"
"53O","Religious Nonmedical (Extended Care) Outpatient Nonpayment/Zero Claims","0","9/30/2005"
"53P","Religious Nonmedical (Extended Care) Outpatient QIO Adjustment Claim","0","9/30/2005"
"53Q","Religious Nonmedical (Extended Care) Outpatient Reopening/Adjustment","0","9/30/2005"
"53X","Religious Nonmedical (Extended Care) Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","0","9/30/2005"
"53Y","Religious Nonmedical (Extended Care) Outpatient Replacement of Prior Abbreviated Encounter Submission","0","9/30/2005"
"53Z","Religious Nonmedical (Extended Care) Outpatient New Abbreviated Encounter Submission","0","9/30/2005"
"540","Religious Nonmedical (Extended Care) Other (Part B) Non-payment/Zero Claim","0","9/30/2005"
"541","Religious Nonmedical (Extended Care) Other (Part B) Admit Through Discharge","0","9/30/2005"
"542","Religious Nonmedical (Extended Care) Other (Part B) Interim - First Claim","0","9/30/2005"
"543","Religious Nonmedical (Extended Care) Other (Part B) Interim-Continuing Claims","0","9/30/2005"
"544","Religious Nonmedical (Extended Care) Other (Part B) Interim - Last Claim","0","9/30/2005"
"545","Religious Nonmedical (Extended Care) Other (Part B) Late Charge Only","0","9/30/2005"
"547","Religious Nonmedical (Extended Care) Other (Part B) Replacement of Prior Claim","0","9/30/2005"
"548","Religious Nonmedical (Extended Care) Other (Part B) Void/Cancel of Prior Claim","0","9/30/2005"
"549","Religious Nonmedical (Extended Care) Other (Part B) Final claim for a Home Health PPS Period","0","9/30/2005"
"54A","Religious Nonmedical (Extended Care) Other (Part B) Admission/Election Notice for Hospice","0","9/30/2005"
"54B","Religious Nonmedical (Extended Care) Other (Part B) Hospice Termination/ Revocation Notice","0","9/30/2005"
"54C","Religious Nonmedical (Extended Care) Other (Part B) Hospice Change of Provider Notice","0","9/30/2005"
"54D","Religious Nonmedical (Extended Care) Other (Part B) Hospice Election Void/Cancel","0","9/30/2005"
"54E","Religious Nonmedical (Extended Care) Other (Part B) Hospice Change of Ownership","0","9/30/2005"
"54F","Religious Nonmedical (Extended Care) Other (Part B) Beneficiary Initiated Adjustment Claim","0","9/30/2005"
"54G","Religious Nonmedical (Extended Care) Other (Part B) CWF Initiated Adjustment Claim","0","9/30/2005"
"54H","Religious Nonmedical (Extended Care) Other (Part B) CMS Initiated Adjustment Claim","0","9/30/2005"
"54I","Religious Nonmedical (Extended Care) Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","0","9/30/2005"
"54J","Religious Nonmedical (Extended Care) Other (Part B) Initiated Adjustment Claim/Other","0","9/30/2005"
"54K","Religious Nonmedical (Extended Care) Other (Part B) OIG Initiated Adjustment Claim","0","9/30/2005"
"54M","Religious Nonmedical (Extended Care) Other (Part B) MSP Initiated Adjustment Claim","0","9/30/2005"
"54O","Religious Nonmedical (Extended Care) Other (Part B) Nonpayment/Zero Claims","0","9/30/2005"
"54P","Religious Nonmedical (Extended Care) Other (Part B) QIO Adjustment Claim","0","9/30/2005"
"54Q","Religious Nonmedical (Extended Care) Other (Part B) Reopening/Adjustment","0","9/30/2005"
"54X","Religious Nonmedical (Extended Care) Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0","9/30/2005"
"54Y","Religious Nonmedical (Extended Care) Other (Part B) Replacement of Prior Abbreviated Encounter Submission","0","9/30/2005"
"54Z","Religious Nonmedical (Extended Care) Other (Part B) New Abbreviated Encounter Submission","0","9/30/2005"
"550","Religious Nonmedical (Extended Care) Intermediate Care - Level I Non-payment/Zero Claim","0","9/30/2005"
"551","Religious Nonmedical (Extended Care) Intermediate Care - Level I Admit Through Discharge","0","9/30/2005"
"552","Religious Nonmedical (Extended Care) Intermediate Care - Level I Interim - First Claim","0","9/30/2005"
"553","Religious Nonmedical (Extended Care) Intermediate Care - Level I Interim-Continuing Claims","0","9/30/2005"
"554","Religious Nonmedical (Extended Care) Intermediate Care - Level I Interim - Last Claim","0","9/30/2005"
"555","Religious Nonmedical (Extended Care) Intermediate Care - Level I Late Charge Only","0","9/30/2005"
"557","Religious Nonmedical (Extended Care) Intermediate Care - Level I Replacement of Prior Claim","0","9/30/2005"
"558","Religious Nonmedical (Extended Care) Intermediate Care - Level I Void/Cancel of Prior Claim","0","9/30/2005"
"559","Religious Nonmedical (Extended Care) Intermediate Care - Level I Final claim for a Home Health PPS Period","0","9/30/2005"
"55A","Religious Nonmedical (Extended Care) Intermediate Care - Level I Admission/Election Notice for Hospice","0","9/30/2005"
"55B","Religious Nonmedical (Extended Care) Intermediate Care - Level I Hospice Termination/ Revocation Notice","0","9/30/2005"
"55C","Religious Nonmedical (Extended Care) Intermediate Care - Level I Hospice Change of Provider Notice","0","9/30/2005"
"55D","Religious Nonmedical (Extended Care) Intermediate Care - Level I Hospice Election Void/Cancel","0","9/30/2005"
"55E","Religious Nonmedical (Extended Care) Intermediate Care - Level I Hospice Change of Ownership","0","9/30/2005"
